mirna	target_gene	score
hsa-miR-153-5p	RIMKLB	0.9368709
hsa-miR-23c	SLC4A4	0.93680644
hsa-miR-548j-3p	RBMS3	0.93678784
hsa-miR-3180-5p	BACE2	0.93673927
hsa-miR-3658	NAMPT	0.9366558
hsa-miR-6715b-5p	PFN2	0.9364468
hsa-miR-4458	MASP1	0.93642956
hsa-miR-1-5p	PAG1	0.9364103
hsa-miR-548c-3p	ITGA8	0.9362828
hsa-miR-30a-5p	ADRA2A	0.93624485
hsa-miR-590-3p	NAMPT	0.93623567
hsa-let-7f-5p	COL27A1	0.93623203
hsa-miR-543	TCF7L2	0.9361231
hsa-miR-3180-5p	BACH2	0.9360071
hsa-miR-129-2-3p	SBK1	0.93595356
hsa-miR-548j-5p	JARID2	0.93590915
hsa-miR-183-5p	SAMD4A	0.93590516
hsa-miR-4652-5p	KCTD15	0.93586123
hsa-miR-4739	SDK1	0.93581945
hsa-miR-888-5p	GNG2	0.935818
hsa-miR-373-5p	C5AR1	0.93572354
hsa-miR-4495	SCN9A	0.93571776
hsa-miR-6867-5p	SDC3	0.9356795
hsa-miR-4328	CRISPLD1	0.9353862
hsa-miR-543	PLXDC2	0.93530405
hsa-miR-4495	LRRC17	0.93518317
hsa-miR-4328	FGD6	0.9350022
hsa-miR-153-5p	SOX6	0.93500096
hsa-miR-8089	NHLH1	0.9349975
hsa-miR-367-3p	IQGAP2	0.93474674
hsa-miR-6878-5p	PELI1	0.9346563
hsa-miR-4705	VAV3	0.93444747
hsa-miR-627-3p	COL27A1	0.934372
hsa-miR-504-3p	ITIH5	0.9343712
hsa-miR-296-5p	KCTD15	0.9343483
hsa-miR-4756-3p	RIPK2	0.93431854
hsa-miR-548ap-3p	TLR2	0.9342704
hsa-miR-23c	CEMIP2	0.93424666
hsa-miR-5582-5p	SLC16A1	0.9342348
hsa-miR-548ap-3p	PAWR	0.9342224
hsa-miR-6875-3p	SOX6	0.9341763
hsa-miR-548x-3p	FGD6	0.93408936
hsa-miR-518e-5p	SEMA6A	0.9340581
hsa-miR-548x-3p	EREG	0.9339531
hsa-miR-4495	TCF7L2	0.9339447
hsa-miR-548ad-5p	JARID2	0.9339379
hsa-miR-23a-3p	STON2	0.93392265
hsa-miR-590-3p	TP63	0.933857
hsa-miR-3180-5p	OLR1	0.9338541
hsa-miR-23a-3p	FOSB	0.933751
hsa-miR-548d-5p	TMTC1	0.93375
hsa-miR-548aj-3p	GPC6	0.9336323
hsa-miR-548j-3p	TOX	0.9334797
hsa-miR-548x-3p	GPC6	0.9334074
hsa-miR-206	FLI1	0.9333579
hsa-miR-548aj-3p	CECR2	0.93334866
hsa-miR-548c-3p	LINGO1	0.9333397
hsa-let-7i-5p	IGDCC4	0.9333337
hsa-miR-4470	SCN9A	0.9332078
hsa-miR-424-5p	CHAC1	0.9331363
hsa-miR-548ap-3p	CHSY1	0.93311274
hsa-miR-548n	TMTC1	0.93285054
hsa-miR-548az-3p	PAG1	0.9328503
hsa-miR-302c-5p	STMN2	0.9328472
hsa-miR-4775	SLC16A1	0.9328134
hsa-miR-548n	ZFHX4	0.9328075
hsa-miR-4521	KCTD15	0.9327588
hsa-miR-548aj-3p	PELI1	0.9326922
hsa-miR-24-3p	PRDM1	0.9325771
hsa-miR-548aj-3p	CCL3L3	0.93252504
hsa-miR-4775	PCDH17	0.93252015
hsa-let-7f-1-3p	CRISPLD1	0.9325001
hsa-miR-6081	SEMA6A	0.9322688
hsa-miR-6735-5p	SDC3	0.9322324
hsa-miR-494-3p	PELI1	0.9321944
hsa-miR-548as-3p	RASSF3	0.9320704
hsa-miR-548ap-3p	UNC5D	0.93195933
hsa-miR-548aj-3p	LPP	0.9319134
hsa-miR-6867-5p	INHBA	0.9317816
hsa-miR-200b-3p	PAG1	0.9317528
hsa-miR-23a-3p	ADAMTS6	0.93173534
hsa-miR-548ap-3p	FNBP1L	0.931684
hsa-miR-200b-3p	ATP11C	0.9316501
hsa-let-7a-2-3p	SDC3	0.9316333
hsa-miR-4756-3p	WWTR1	0.9315371
hsa-miR-30c-2-3p	LOX	0.931523
hsa-miR-548bb-3p	WNT5A	0.931498
hsa-miR-548p	B3GNT5	0.9314191
hsa-miR-4328	NR2F2	0.93122065
hsa-miR-23a-3p	EOMES	0.931017
