mirna	Astrocyte	B_cell	CD4_T	CD8_T	Microglia	Monocyte	NK_cell	Oligodendrocyte	T_cell	Th17	Treg
hsa-miR-6830-3p	4.1470397263765335e-05	2.7672249416355044e-05	2.7147603759658523e-05	6.529196252813563e-05	2.7624269932857715e-05	2.8665275749517605e-05	2.7143429178977385e-05	1.1689147868310101e-05	1.6480611520819366e-05	3.0433107895078138e-05	3.8010781281627715e-05
hsa-miR-6830-5p	1.0542164091020823e-05	1.1029136658180505e-05	2.3303316993406042e-05	2.334563760086894e-05	1.615269502508454e-05	1.0613623089739121e-05	2.265821967739612e-05	1.1092834029113874e-05	3.287141953478567e-05	1.1996608918707352e-05	1.4447825378738344e-05
hsa-miR-6831-3p	3.4147972201026278e-06	3.486749392322963e-06	4.6309069148264825e-06	4.404068477015244e-06	1.2965290352440206e-06	2.3805698674550513e-06	1.5654535445719375e-06	1.891977944978862e-06	2.2390047433873406e-06	2.908172973548062e-06	3.252096803407767e-06
hsa-miR-6831-5p	1.6660145547575667e-06	6.824615752520913e-07	1.823741968109971e-06	9.873301678453572e-07	1.0031519650510745e-06	8.429542504018173e-07	1.1207756642761524e-06	1.0384609367974917e-06	1.481016852267203e-06	1.0386612530055572e-06	1.4594114645660738e-06
hsa-miR-6832-3p	6.175535236252472e-05	0.00012395090016070753	7.52180494600907e-05	0.0003700512752402574	4.783349868375808e-05	7.179637032095343e-05	9.579936158843338e-05	0.0001144371199188754	0.00021068501519039273	9.851776849245653e-05	7.92725186329335e-05
hsa-miR-6832-5p	9.357419003208634e-06	1.5788524251547642e-05	2.7733563911169767e-05	3.164026202284731e-05	1.0509308594919275e-05	1.5844887457205914e-05	2.3721404431853443e-05	1.8318971342523582e-05	2.173494613089133e-05	1.910990431497339e-05	2.1969299268675968e-05
hsa-miR-6833-3p	6.140157347545028e-05	4.668116525863297e-05	0.00012847382458858192	4.470261046662927e-05	7.23929115338251e-05	6.98994190315716e-05	5.3402378398459405e-05	3.6908448237227276e-05	8.374665048904717e-05	0.0001250149216502905	3.9801008824724704e-05
hsa-miR-6833-5p	1.6411053138654097e-06	2.3416939711751183e-06	2.7593027880357113e-06	2.1461066808114992e-06	1.262852492800448e-06	3.0206047085812315e-06	2.70614100372768e-06	4.444288151717046e-06	2.9349901069508633e-06	2.025530193350278e-06	3.0067774332565023e-06
hsa-miR-6834-3p	5.506997240445344e-07	4.570662213154719e-07	7.024610226835648e-07	1.116712041948631e-06	3.492297651064291e-07	1.3713518001168268e-06	5.471404733725649e-07	4.4154057832201943e-07	5.071948976365093e-07	2.657075697243272e-07	3.0740230272385816e-07
hsa-miR-6834-5p	7.816156539774965e-06	7.826352884876542e-06	7.085367087711347e-06	8.704720130481292e-06	5.389765192376217e-06	3.478759026620537e-06	1.0980250408465508e-05	4.6018203647690825e-06	6.5452568378532305e-06	8.323288966494147e-06	5.322179276845418e-06
hsa-miR-6835-3p	4.6911468416510615e-06	6.07754282100359e-06	1.018822513287887e-05	1.3232809578767046e-05	8.643941328045912e-06	6.729550477757584e-06	5.806799890706316e-06	4.34466210208484e-06	6.260993814066751e-06	1.0756872143247165e-05	5.434391368908109e-06
hsa-miR-6835-5p	3.413639433347271e-06	4.62301568404655e-06	1.1392595297365915e-05	1.577507828187663e-05	6.805672455811873e-06	3.357007926751976e-06	3.5356165426492225e-06	3.1076272080099443e-06	5.758587576565333e-06	6.429496806958923e-06	6.388918791344622e-06
hsa-miR-6836-3p	9.757793122844305e-06	2.1035635654698126e-05	5.273685383144766e-05	2.4753151592449285e-05	2.645188578753732e-05	9.268958820030093e-06	3.636403562268242e-05	3.232512608519755e-05	4.522598464973271e-05	7.615182312292745e-06	2.2596781491301954e-05
hsa-miR-6836-5p	1.3351167581276968e-05	4.4042611989425495e-05	1.1020101737813093e-05	6.773712084395811e-05	2.3448546926374547e-05	2.485243385308422e-05	2.2051452106097713e-05	3.8019261410227045e-05	2.6584884835756384e-05	2.461455369484611e-05	1.58619113790337e-05
hsa-miR-6837-3p	3.3430133044021204e-05	1.5696426999056712e-05	3.9632286643609405e-05	2.4437149477307685e-05	2.5136709155049175e-05	1.607101148692891e-05	5.9300262364558876e-05	1.947836972249206e-05	1.1971513231401332e-05	3.4811426303349435e-05	1.5879079001024365e-05
hsa-miR-6837-5p	2.631632196425926e-05	2.2725143935531378e-05	3.872738670906983e-05	7.47446101740934e-05	2.131830478901975e-05	3.285273487563245e-05	2.4840559490257874e-05	2.4125491108861752e-05	4.991209789295681e-05	2.265301372972317e-05	2.317950566066429e-05
hsa-miR-6838-3p	7.143426500988426e-06	4.275898845662596e-06	1.1678618648147676e-05	4.54736527899513e-06	1.4548786566592753e-06	3.6825106235482963e-06	7.475096936104819e-06	4.726749466499314e-06	7.835133146727458e-06	8.82772383192787e-06	7.87012049840996e-06
hsa-miR-6838-5p	6.526363722514361e-05	4.245458330842666e-05	0.0001877902977867052	0.00015659058408346027	4.176334186922759e-05	2.7105466870125383e-05	8.481516852043569e-05	6.705783016514033e-05	5.456410508486442e-05	4.7501678636763245e-05	6.163759098853916e-05
hsa-miR-6839-3p	4.172272383584641e-05	3.044188633793965e-05	5.920736293774098e-05	6.231515726540238e-05	2.288593714183662e-05	1.9089529814664274e-05	0.00010499152995180339	2.1403560822363943e-05	2.532103462726809e-05	2.5266168449888937e-05	3.663787356344983e-05
hsa-miR-6839-5p	7.014633411017712e-06	2.092424620059319e-05	1.0445440238981973e-05	2.9943781555630267e-05	1.0680960258468986e-05	4.589537638821639e-06	1.0684017979656346e-05	4.4875364437757526e-06	5.197501195652876e-06	2.416329152765684e-06	5.037048140366096e-06
hsa-miR-6840-3p	2.8724165531457402e-05	7.379687303910032e-05	9.219306230079383e-05	0.0001098259017453529	6.200158532010391e-05	3.924729389837012e-05	2.6243802494718693e-05	4.6553785068681464e-05	2.1144542188267224e-05	9.368714927404653e-06	2.9648215786437504e-05
